queuePosition,routeId,selectionMode,knowledgePointIds,questionType,depthMode,contextMode,contractCapacity,liveAccepted20AcrossSeeds,liveFailureCodes,runtimeErrorCodes,seed1QuestionCount,seed1UniquePromptCount,seed2QuestionCount,seed2UniquePromptCount,patternSpecIdsObserved
76,pgc_r03_g5a_u02_5a02_mixed_feb86f56ccb4,singleKnowledgePoint,kp_g5a_u02_multi_constraint_digit_code_number_theory,mixed,mixed,abstract_math,8,false,DUPLICATE_PROMPT,,20,8,20,8,ps_g5a_u02_multi_constraint_digit_code
77,pgc_r03_g5a_u02_5a02_mixed_fec85f2c7873,singleKnowledgePoint,kp_g5a_u02_divisibility_factor_membership_judgement,mixed,mixed,mixed,14,false,DUPLICATE_PROMPT,,20,18,20,19,ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement
78,pgc_r03_g5a_u02_5a02_mixed_ff85ac7cff13,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,mixed,mixed,mixed,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
79,pgc_r03_g5a_u02_5a02_reasoning_04b5d453dba1,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,reasoning,extended,mixed,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
80,pgc_r03_g5a_u02_5a02_reasoning_09734a647364,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,reasoning,mixed,mixed,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
81,pgc_r03_g5a_u02_5a02_reasoning_146eeb7c4418,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,reasoning,extended,abstract_math,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
82,pgc_r03_g5a_u02_5a02_reasoning_348aec123b14,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,reasoning,mixed,abstract_math,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
83,pgc_r03_g5a_u02_5a02_reasoning_44174643933d,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,reasoning,mixed,mixed,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
84,pgc_r03_g5a_u02_5a02_reasoning_8a6b7a6076c8,singleKnowledgePoint,kp_g5a_u02_missing_factor_reconstruction,reasoning,mixed,abstract_math,16,true,,,20,20,20,20,ps_g5a_u02_missing_factor_reconstruction
85,pgc_r03_g5a_u02_5a02_reasoning_c865b6de3e28,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,reasoning,extended,abstract_math,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
86,pgc_r03_g5a_u02_5a02_reasoning_e62a4eeeabc5,singleKnowledgePoint,kp_g5a_u02_inverse_reasoning_from_complete_factor_list,reasoning,extended,mixed,15,false,DUPLICATE_PROMPT,,20,18,20,18,ps_g5a_u02_complete_factor_list_unknown_values|ps_g5a_u02_complete_factor_list_statement_evaluation
87,pgc_r03_g5a_u02_5a02_pbl_03409cbc10b4,sourceUnit,,pbl,mixed,mixed,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
88,pgc_r03_g5a_u02_5a02_pbl_9abf58c6b925,sourceUnit,,pbl,mixed,abstract_math,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
89,pgc_r03_g5a_u02_5a02_pbl_b3971844f8e5,sourceUnit,,pbl,extended,mixed,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
90,pgc_r03_g5a_u02_5a02_pbl_b931c2f2c8ce,sourceUnit,,pbl,extended,geometry_context,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
91,pgc_r03_g5a_u02_5a02_pbl_bdaba83351f3,sourceUnit,,pbl,extended,daily_life,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
92,pgc_r03_g5a_u02_5a02_pbl_cb87dbe9053a,sourceUnit,,pbl,basic,geometry_context,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
93,pgc_r03_g5a_u02_5a02_pbl_d77a5d08d769,sourceUnit,,pbl,basic,abstract_math,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
94,pgc_r03_g5a_u02_5a02_pbl_dbe7d293006e,sourceUnit,,pbl,basic,daily_life,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
95,pgc_r03_g5a_u02_5a02_pbl_e2414cd5792f,sourceUnit,,pbl,mixed,daily_life,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
96,pgc_r03_g5a_u02_5a02_pbl_e6872a54e149,sourceUnit,,pbl,extended,abstract_math,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
97,pgc_r03_g5a_u02_5a02_pbl_e6a9224f4a9b,sourceUnit,,pbl,mixed,geometry_context,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
98,pgc_r03_g5a_u02_5a02_pbl_eb45b235d995,sourceUnit,,pbl,basic,mixed,20,true,,,20,20,20,20,pbl_g5a_u02_equal_group_design
